Name,Email,Phone
John Doe,johnsdoe@yopmail.com,918848245077
John Smith,johnsmith@yopmail.com,918848245078
Liam Anderson,liam.anderson@yopmail.com,918848245079
Olivia Ramirez,olivia.ramirez@yopmail.com,918848245080
Ava Patel,ava.patel@yopmail.com,918848245081
William Roberts,william.roberts@yopmail.com,918848245082
Sophia Campbell,sophia.campbell@yopmail.com,918848245083
Benjamin Mitchell,benjamin.mitchell@yopmail.com,918848245084
Isabella Turner,isabella.turner@yopmail.com,918848245085
Bob Smith,bob.smith@yopmail.com,918848245086
